score,salary
78.71,97300
67.92,67229
95.94,46458
75.55,35873
64.66,42472
88.96,43311
84.87,88228
74.45,69271
62.69,65053
83.69,72199
96.1,74101
98.18,84446
80.97,33081
81.39,25941
84.91,45665
74.98,45109
90.59,76982
61.88,50420
92.87,63143
99.9,56846
84.57,51378
75.09,55137
87.33,67617
92.93,57578
71.34,60500
99.65,66450
80.98,35076
85.76,97360
60.35,74161
87.41,43704
93.61,76572
93.41,81604
81.43,48915
83.54,85368
65.1,60799
70.05,68659
76.46,37414
83.84,58613
76.37,91151
69.85,70540
63.9,98939
83.43,98835
75.53,65759
81.82,90577
91.03,63491
92.58,90591
84.72,84292
66.97,57276
99.1,30027
80.3,66191
68.82,55782
61.74,53983
85.71,75735
82.43,53597
86.72,72699
80.69,84578
63.36,55344
86.42,28417
75.92,34514
92.64,54799
75.03,60767
68.74,97377
74.29,41714
69.83,88637
87.13,54537
98.11,63716
81.55,98525
84.5,65610
95.36,24710
65.54,97938
80.87,94286
63.3,22453
64.89,28409
71.94,82239
81.83,87619
72.88,82297
76.92,69631
68.33,48351
81.18,83972
80.13,56129
82.18,51073
66.01,81871
64.96,38526
78.28,38086
62.91,69996
94.99,62475
99.82,28917
78.54,31174
77.18,81303
78.85,80116
97.02,72819
78.27,28341
60.05,95114
92.98,35039
87.01,40860
89.13,96202
74.67,89380
93.84,38384
94.02,90424
98.38,52721
70.64,70019
86.99,48045
62.21,75506
64.38,20851
72.96,49718
97.39,82184
81.38,61716
93.54,78129
99.06,40221
95.88,28160
81.21,44064
65.43,59517
64.44,59500
69.52,28523
66.95,97809
84.48,93248
67.8,98355
72.0,41972
91.69,89791
75.38,81253
60.63,72378
99.89,63856
98.1,32551
85.74,84749
76.07,41703
86.06,39579
78.18,75293
77.57,97955
96.83,30519
92.92,77907
66.26,73792
83.12,35808
90.33,34942
89.8,62788
75.17,34298
97.14,65497
97.2,63253
82.35,94459
97.32,35416
75.73,95880
88.43,96856
80.03,52588
85.98,79459
66.87,93042
77.29,98354
75.05,87245
60.08,39734
72.5,49468
80.26,42225
99.76,92041
89.15,45023
85.95,93650
74.52,77957
81.59,74693
82.56,36847
80.44,75407
72.84,24805
60.49,70054
98.59,53406
96.85,35188
90.45,72096
67.27,44337
96.36,70619
96.56,77953
97.31,57737
67.18,43057
61.2,70859
79.31,24838
74.94,66338
85.21,97287
79.67,84427
90.58,99414
74.09,91640
90.61,83367
68.26,92129
87.05,52773
66.36,75914
95.55,41807
64.58,80889
98.98,34935
91.49,96909
76.61,38539
81.77,34942
62.28,51568
85.03,25595
81.94,50725
85.9,43773
73.18,66732
98.91,41253
77.62,98782
97.86,97563
96.37,30425
71.45,46563
78.69,87893
68.87,57691
67.77,22657
61.28,75268
62.97,93578
90.51,41797
92.27,65212
81.63,65614
63.66,85315
75.91,76463
89.27,80798
82.22,50433
92.56,99074
95.6,93430
76.92,85357
87.89,22759
68.4,85785
75.76,66464
92.12,32668
98.65,29644
71.22,65508
70.85,77539
73.85,76006
64.14,51902
98.45,60849
78.7,61745
89.26,97559
79.06,73174
94.99,32074
71.74,89461
71.24,41694
84.75,20556
70.53,88605
84.45,68408
81.64,89741
91.99,65493
84.91,89159
88.0,39323
78.59,86535
70.5,84005
64.1,30127
94.95,50775
69.01,70483
90.29,50507
70.32,82840
74.02,32321
80.69,22977
81.9,83482
80.52,63580
79.18,39385
61.57,48171
68.4,94873
66.24,96928
73.24,66805
66.07,21931
64.34,38732
60.09,84908
69.89,88931
63.59,99340
92.56,74511
83.28,77486
98.64,75836
76.52,64838
85.3,31628
75.66,31756
94.88,37277
89.56,76778
83.14,91872
93.54,69309
74.95,68392
61.77,85354
